"Extraction","Method","test","Bugs","X.","Name","RT","Area","Height","SampleName","Condition","Replicate","Vial","Sample.Set.Name","Channel.Description","Date.Acquired","Area.norm","screen","Ctrl","Area.corrected","Condition.ctrl","Ctrl.ctrl","Bugs.ctrl","Mean.ctrl","Median.ctrl","SD.ctrl","Var.ctrl","IsNA.ctrl","Count.ctrl","Mean.base.ctrl","Condition.smpl","Ctrl.smpl","Mean.smpl","Median.smpl","SD.smpl","Var.smpl","IsNA.smpl","Count.smpl","Mean.base.smpl","Ns","Percentleft","pvalue","Mean.diff","Bugslong","Drugs","ratio","DiffCtrlSample"
"Supernatant","a",2,"Bu",1447,"aripi_peak",3.362,0,0,"Bu_dot_a_1","Bu",1,"1:A,1","160808_hitvalid2_p1_p2","PDA Ch1 255nm@3.6nm","8/10/2016 8:32:14 AM CEST",0,"Supernatant 2","zero",0,"a","ctrl","BugFreeControl",0.209090850436204,0.207869245212333,0.00280105734370533,7.84592224272555e-06,0,6,0.209090850436204,"Bua","smpl",0.296180918646452,0.271974143060077,0.0416493108053285,0.00173466509055886,0,6,0.296180918646452,3,1.4165178343699,0.0036423786823259,0.416517834369899,"Bacteroides uniformis","aripi",2.06218112571642,-1
"Supernatant","a",2,"Bu",1451,"aripi_peak",3.362,0,0,"Bu_dot_a_3","Bu",3,"1:A,3","160808_hitvalid2_p1_p2","PDA Ch1 255nm@3.6nm","8/10/2016 8:54:22 AM CEST",0,"Supernatant 2","zero",0,"a","ctrl","BugFreeControl",0.209090850436204,0.207869245212333,0.00280105734370533,7.84592224272555e-06,0,6,0.209090850436204,"Bua","smpl",0.296180918646452,0.271974143060077,0.0416493108053285,0.00173466509055886,0,6,0.296180918646452,3,1.4165178343699,0.0036423786823259,0.416517834369899,"Bacteroides uniformis","aripi",2.06218112571642,-1
"Supernatant","a",2,"Cb",1277,"aripi_peak",3.215,71272,30251,"Cba_dot_a_1","Cba",1,"1:F,1","160808_hitvalid2_p1_p2","PDA Ch1 255nm@3.6nm","8/10/2016 4:56:46 AM CEST",0.219860628252547,"Supernatant 2","smpl",0.219860628252547,"a","ctrl","BugFreeControl",0.209090850436204,0.207869245212333,0.00280105734370533,7.84592224272555e-06,0,6,0.209090850436204,"Cba","smpl",0.218927013714954,0.218927013714954,0.00132033034109351,1.7432722096121e-06,0,2,0.218927013714954,3,1.04704253322529,0.00201206212770225,0.0470425332252937,"Clostridium bolteae","aripi",0.772460355002117,0.0576871438002536
"Supernatant","a",2,"Cb",1276,"aripi_peak",3.214,70806,29846,"Cba_dot_a_1","Cba",1,"1:F,1","160808_hitvalid2_p1_p2","PDA Ch1 255nm@3.6nm","8/10/2016 5:02:17 AM CEST",0.21799339917736,"Supernatant 2","smpl",0.21799339917736,"a","ctrl","BugFreeControl",0.209090850436204,0.207869245212333,0.00280105734370533,7.84592224272555e-06,0,6,0.209090850436204,"Cba","smpl",0.218927013714954,0.218927013714954,0.00132033034109351,1.7432722096121e-06,0,2,0.218927013714954,3,1.04704253322529,0.00201206212770225,0.0470425332252937,"Clostridium bolteae","aripi",0.772460355002117,0.0487044341489062
"Supernatant","a",2,"Cb",1459,"aripi_peak",3.362,0,0,"Cb_dot_a_1","Cb",1,"1:C,1","160808_hitvalid2_p1_p2","PDA Ch1 255nm@3.6nm","8/10/2016 9:38:29 AM CEST",0,"Supernatant 2","zero",0,"a","ctrl","BugFreeControl",0.209090850436204,0.207869245212333,0.00280105734370533,7.84592224272555e-06,0,6,0.209090850436204,"Cba","smpl",0.218927013714954,0.218927013714954,0.00132033034109351,1.7432722096121e-06,0,2,0.218927013714954,3,1.04704253322529,0.00201206212770225,0.0470425332252937,"Clostridium bolteae","aripi",0.772460355002117,-1
"Supernatant","a",2,"Cb",1458,"aripi_peak",3.362,0,0,"Cb_dot_a_1","Cb",1,"1:C,1","160808_hitvalid2_p1_p2","PDA Ch1 255nm@3.6nm","8/10/2016 9:32:58 AM CEST",0,"Supernatant 2","zero",0,"a","ctrl","BugFreeControl",0.209090850436204,0.207869245212333,0.00280105734370533,7.84592224272555e-06,0,6,0.209090850436204,"Cba","smpl",0.218927013714954,0.218927013714954,0.00132033034109351,1.7432722096121e-06,0,2,0.218927013714954,3,1.04704253322529,0.00201206212770225,0.0470425332252937,"Clostridium bolteae","aripi",0.772460355002117,-1
"Supernatant","a",2,"Cb",1460,"aripi_peak",3.362,0,0,"Cb_dot_a_2","Cb",2,"1:C,2","160808_hitvalid2_p1_p2","PDA Ch1 255nm@3.6nm","8/10/2016 9:44:01 AM CEST",0,"Supernatant 2","zero",0,"a","ctrl","BugFreeControl",0.209090850436204,0.207869245212333,0.00280105734370533,7.84592224272555e-06,0,6,0.209090850436204,"Cba","smpl",0.218927013714954,0.218927013714954,0.00132033034109351,1.7432722096121e-06,0,2,0.218927013714954,3,1.04704253322529,0.00201206212770225,0.0470425332252937,"Clostridium bolteae","aripi",0.772460355002117,-1
"Supernatant","a",2,"Cb",1463,"aripi_peak",3.362,0,0,"Cb_dot_a_3","Cb",3,"1:C,3","160808_hitvalid2_p1_p2","PDA Ch1 255nm@3.6nm","8/10/2016 10:00:34 AM CEST",0,"Supernatant 2","zero",0,"a","ctrl","BugFreeControl",0.209090850436204,0.207869245212333,0.00280105734370533,7.84592224272555e-06,0,6,0.209090850436204,"Cba","smpl",0.218927013714954,0.218927013714954,0.00132033034109351,1.7432722096121e-06,0,2,0.218927013714954,3,1.04704253322529,0.00201206212770225,0.0470425332252937,"Clostridium bolteae","aripi",0.772460355002117,-1
"Supernatant","a",2,"Cb",1462,"aripi_peak",3.362,0,0,"Cb_dot_a_3","Cb",3,"1:C,3","160808_hitvalid2_p1_p2","PDA Ch1 255nm@3.6nm","8/10/2016 9:55:02 AM CEST",0,"Supernatant 2","zero",0,"a","ctrl","BugFreeControl",0.209090850436204,0.207869245212333,0.00280105734370533,7.84592224272555e-06,0,6,0.209090850436204,"Cba","smpl",0.218927013714954,0.218927013714954,0.00132033034109351,1.7432722096121e-06,0,2,0.218927013714954,3,1.04704253322529,0.00201206212770225,0.0470425332252937,"Clostridium bolteae","aripi",0.772460355002117,-1
"Supernatant","a",2,"Cb",1461,"aripi_peak",3.362,0,0,"Cb_dot_a_2","Cb",2,"1:C,2","160808_hitvalid2_p1_p2","PDA Ch1 255nm@3.6nm","8/10/2016 9:49:29 AM CEST",0,"Supernatant 2","zero",0,"a","ctrl","BugFreeControl",0.209090850436204,0.207869245212333,0.00280105734370533,7.84592224272555e-06,0,6,0.209090850436204,"Cba","smpl",0.218927013714954,0.218927013714954,0.00132033034109351,1.7432722096121e-06,0,2,0.218927013714954,3,1.04704253322529,0.00201206212770225,0.0470425332252937,"Clostridium bolteae","aripi",0.772460355002117,-1
"Supernatant","a",2,"Cs",1471,"aripi_peak",3.362,0,0,"Cs_dot_a_1","Cs",1,"1:C,7","160808_hitvalid2_p1_p2","PDA Ch1 255nm@3.6nm","8/10/2016 10:44:42 AM CEST",0,"Supernatant 2","zero",0,"a","ctrl","BugFreeControl",0.209090850436204,0.207869245212333,0.00280105734370533,7.84592224272555e-06,0,6,0.209090850436204,"Csa","smpl",0.218333752435124,0.216772597875982,0.00586151524061112,3.43573609159165e-05,0,6,0.218333752435124,1,1.04420519587365,0.00981338355226524,0.0442051958736509,"Clostridium saccharolyticum","aripi",0.923004247259046,-1
"Supernatant","a",2,"Cs",1356,"aripi_peak",3.221,68941,29681,"Csa_dot_a_2","Csa",2,"1:F,8","160808_hitvalid2_p1_p2","PDA Ch1 255nm@3.6nm","8/10/2016 5:29:53 AM CEST",0.224704781833531,"Supernatant 2","smpl",0.224704781833531,"a","ctrl","BugFreeControl",0.209090850436204,0.207869245212333,0.00280105734370533,7.84592224272555e-06,0,6,0.209090850436204,"Csa","smpl",0.218333752435124,0.216772597875982,0.00586151524061112,3.43573609159165e-05,0,6,0.218333752435124,1,1.04420519587365,0.00981338355226524,0.0442051958736509,"Clostridium saccharolyticum","aripi",0.923004247259046,0.0809909931793912
"Supernatant","a",2,"Cs",1335,"aripi_peak",3.22,70846,33303,"Csa_dot_a_3","Csa",3,"1:F,9","160808_hitvalid2_p1_p2","PDA Ch1 255nm@3.6nm","8/10/2016 5:40:56 AM CEST",0.22617667997944,"Supernatant 2","smpl",0.22617667997944,"a","ctrl","BugFreeControl",0.209090850436204,0.207869245212333,0.00280105734370533,7.84592224272555e-06,0,6,0.209090850436204,"Csa","smpl",0.218333752435124,0.216772597875982,0.00586151524061112,3.43573609159165e-05,0,6,0.218333752435124,1,1.04420519587365,0.00981338355226524,0.0442051958736509,"Clostridium saccharolyticum","aripi",0.923004247259046,0.08807187782111
