KEGG_CPD	KEGG_FORMULA	KEGG_EXACT_MASS
C00091	C25H40N7O19P3S	867.1313
C00092	C6H13O9P	260.0297
C00093	C3H9O6P	172.0137
C00094	H2SO3	81.9725
C00095	C6H12O6	180.0634
C00096	C16H25N5O16P2	605.0772
C00097	C3H7NO2S	121.0197
C00099	C3H7NO2	89.0477
C00100	C24H40N7O17P3S	823.1414
C00101	C19H23N7O6	445.171
C00103	C6H13O9P	260.0297
C00104	C10H14N4O11P2	428.0134
C00105	C9H13N2O9P	324.0359
C00106	C4H4N2O2	112.0273
C00108	C7H7NO2	137.0477
C00109	C4H6O3	102.0317
C00110	C20H37O4P(C5H8)n	
C00111	C3H7O6P	169.998
C00112	C9H15N3O11P2	403.0182
C00113	C14H6N2O8	330.0124
C00114	C5H14NO	104.1075
C00116	C3H8O3	92.0473
C00117	C5H11O8P	230.0192
C00118	C3H7O6P	169.998
C00119	C5H13O14P3	389.9518
C00120	C10H16N2O3S	244.0882
C00121	C5H10O5	150.0528
C00122	C4H4O4	116.011
C00123	C6H13NO2	131.0946
C00124	C6H12O6	180.0634
C00125	C42H44FeN8O8S2R4	
C00126	C42H44FeN8O8S2R4	
C00127	C20H32N6O12S2	612.152
C00128	C20H31N4O16P	614.1473
C00129	C5H12O7P2	246.0058
C00130	C10H13N4O8P	348.0471
C00131	C10H16N5O12P3	491.0008
C00132	CH4O	32.0262
C00133	C3H7NO2	89.0477
C00134	C4H12N2	88.1
C00135	C6H9N3O2	155.0695
C00136	C25H42N7O17P3S	837.1571
C00137	C6H12O6	180.0634
C00138		
C00139		
C00140	C8H15NO6	221.0899
C00141	C5H8O3	116.0473
C00143	C20H23N7O6	457.171
C00144	C10H14N5O8P	363.058
C00145	HSR	
C00146	C6H6O	94.0419
C00147	C5H5N5	135.0545
C00148	C5H9NO2	115.0633
C00149	C4H6O5	134.0215
C00151	C2H4NO2R	
C00152	C4H8N2O3	132.0535
C00153	C6H6N2O	122.048
C00154	C37H66N7O17P3S	1005.3449
C00155	C4H9NO2S	135.0354
C00156	C7H6O3	138.0317
C00157	C10H18NO8PR2	
C00158	C6H8O7	192.027
C00159	C6H12O6	180.0634
C00160	C2H4O3	76.016
C00161	C2HO3R	
C00162	CHO2R	
C00163	C3H6O2	74.0368
C00164	C4H6O3	102.0317
C00165	C5H6O5R2	
C00166	C9H8O3	164.0473
C00167	C15H22N2O18P2	580.0343
C00168	C3H4O4	104.011
C00169	CH4NO5P	140.9827
C00170	C11H15N5O3S	297.0896
C00173	C3H4OSR2	
C00175	Co	58.9332
C00176	C12H9N4O2R	
C00177	CN	26.0031
C00178	C5H6N2O2	126.0429
C00179	C5H14N4	130.1218
C00180	C7H6O2	122.0368
C00181	C5H10O5	150.0528
C00183	C5H11NO2	117.079
C00184	C3H6O3	90.0317
C00185	C12H22O11	342.1162
C00186	C3H6O3	90.0317
C00187	C27H46O	386.3549
C00188	C4H9NO3	119.0582
C00189	C2H7NO	61.0528
C00190	C14H22N2O16P2	536.0445
C00191	C6H10O7	194.0427
C00192	NH3O	33.0215
C00193	C7H6O	106.0419
C00194	C72H100CoN18O17P	1578.6583
C00195	C19H36NO3R	
C00196	C7H6O4	154.0266
C00197	C3H7O7P	185.9929
C00198	C6H10O6	178.0477
C00199	C5H11O8P	230.0192
C00201	C5H12O13P3R	
C00202	C6H14FO3P	184.0665
C00203	C17H27N3O17P2	607.0816
C00204	C6H10O6	178.0477
C00205		
C00206	C10H15N5O9P2	411.0345
C00207	C3H6O	58.0419
C00208	C12H22O11	342.1162
C00209	C2H2O4	89.9953
C00212	C10H13N5O4	267.0968
C00213	C3H7NO2	89.0477
C00214	C10H14N2O5	242.0903
C00215		
C00216	C5H10O5	150.0528
C00217	C5H9NO4	147.0532
C00218	CH5N	31.0422
C00219	C20H32O2	304.2402
C00221	C6H12O6	180.0634
C00222	C3H4O3	88.016
C00223	C30H42N7O18P3S	913.152
C00224	C10H14N5O10PS	427.0199
C00226	CH3OR	
C00227	C2H5O5P	139.9875
C00229	HSR	
C00230	C7H6O4	154.0266
C00231	C5H11O8P	230.0192
C00232	C4H6O3	102.0317
C00233	C6H10O3	130.063
C00234	C20H23N7O7	473.1659
C00235	C5H12O7P2	246.0058
C00236	C3H8O10P2	265.9593
C00237	CO	27.9949
C00239	C9H14N3O7P	307.0569
C00240	C15H25O16P2R3	
C00241	CH2NOR	
C00242	C5H5N5O	151.0494
C00243	C12H22O11	342.1162
C00244	HNO3	62.9956
C00245	C2H7NO3S	125.0147
C00246	C4H8O2	88.0524
C00247	C6H12O6	180.0634
C00248	C8H15NOS2	205.0595
C00249	C16H32O2	256.2402
C00250	C8H9NO3	167.0582
C00251	C10H10O6	226.0477
C00252	C12H22O11	342.1162
C00253	C6H5NO2	123.032
C00254	C10H10O6	226.0477
C00255	C17H20N4O6	376.1383
C00256	C3H6O3	90.0317
C00257	C6H12O7	196.0583
C00258	C3H6O4	106.0266
C00259	C5H10O5	150.0528
C00261	C7H6O	106.0419
C00262	C5H4N4O	136.0385
C00263	C4H9NO3	119.0582
C00264	C24H37N7O18P3SR	
C00265	C4H10O2S2	154.0122
C00266	C2H4O2	60.0211
C00267	C6H12O6	180.0634
C00268	C9H13N5O3	239.1018
C00269	C14H19N3O15P2R2	
C00270	C11H19NO9	309.106
C00272	C9H15N5O3	241.1175
C00273	C6H10O6	178.0477
C00275	C6H13O9P	260.0297
C00279	C4H9O7P	200.0086
C00280	C19H26O2	286.1933
C00282	H2	2.0157
C00283	H2S	33.9877
C00284	C10H16N2O8	292.0907
C00286	C10H16N5O13P3	506.9957
C00288	HCO3	60.9926
C00292	C6H7N	93.0578
C00294	C10H12N4O5	268.0808
C00295	C5H4N2O4	156.0171
C00296	C7H12O6	192.0634
C00299	C9H12N2O6	244.0695
C00300	C4H9N3O2	131.0695
C00301	C15H23N5O14P2	559.0717
C00302	C5H9NO4	147.0532
C00305	Mg	23.985
C00307	C14H26N4O11P2	488.1073
C00309	C5H10O5	150.0528
C00310	C5H10O5	150.0528
C00311	C6H8O7	192.027
C00312	C5H10O5	150.0528
C00313	C23H36N7O19P3S	839.1
C00314	C8H11NO3	169.0739
C00315	C7H19N3	145.1579
C00318	C7H15NO3	161.1052
C00319	C18H37NO2	299.2824
C00320	HS2O3	112.9367
C00322	C6H8O5	160.0372
C00323	C30H42N7O19P3S	929.1469
C00325	C16H25N5O15P2	589.0822
C00327	C6H13N3O3	175.0957
C00328	C10H12N2O3	208.0848
C00329	C6H13NO5	179.0794
C00330	C10H13N5O4	267.0968
C00331	C11H9NO3	203.0582
C00332	C25H40N7O18P3S	851.1363
C00333	C6H10O7	194.0427
C00334	C4H9NO2	103.0633
C00337	C5H6N2O4	158.0328
C00338		
C00339	CH3OR	
C00340		
C00341	C10H20O7P2	314.0684
C00342	C10H14N4O4S2R4	
C00343	C10H12N4O4S2R4	
C00344	C8H13O10PR2	
C00345	C6H13O10P	276.0246
C00346	C2H8NO4P	141.0191
C00347	C3H5O2R	
C00349	C4H6O3	102.0317
C00350	C7H12NO8PR2	
C00352	C6H14NO8P	259.0457
C00353	C20H36O7P2	450.1936
C00354	C6H14O12P2	339.996
C00355	C9H11NO4	197.0688
C00356	C27H44N7O20P3S	911.1575
C00357	C8H16NO9P	301.0563
C00360	C10H14N5O6P	331.0682
C00361	C10H15N5O10P2	427.0294
C00362	C10H14N5O7P	347.0631
C00363	C10H16N2O11P2	402.0229
C00364	C10H15N2O8P	322.0566
C00365	C9H13N2O8P	308.041
C00366	C5H4N4O3	168.0283
C00369	(C12H20O10)n	
C00370	C17H28O	248.214
C00371	C10H13N5O	219.112
C00372	(C12H20O10)n	
C00375	CH4NR	
C00376	C20H28O	284.214
C00377		
C00378	C12H17N4OS	265.1123
C00379	C5H12O5	152.0685
C00380	C4H5N3O	111.0433
C00381	C20H36O(C5H8)n	
C00383	C3H4O4	104.011
C00385	C5H4N4O2	152.0334
C00386	C9H14N4O3	226.1066
C00387	C10H13N5O5	283.0917
C00388	C5H9N3	111.0796
C00389	C15H10O7	302.0427
C00390	C14H20O4(C5H8)n	
C00392	C6H14O6	182.079
C00394	C16H25N5O16P2	605.0772
C00395	C9H11N2O4SR	
C00396	C4H4N2	80.0374
C00397	C18H37N5O9	467.2591
C00398	C10H12N2	160.1
C00399	C14H18O4(C5H8)n	
C00400	C10H20O	156.1514
C00401	(C14H21NO11)n	
C00402	C4H7NO4	133.0375
C00403	C4H6N2O3R2(C2H2NOR)n	
C00404	H4P2O7(HPO3)n	
C00405	C2H4NO2R	
C00406	C31H44N7O19P3S	943.1626
C00407	C6H13NO2	131.0946
C00408	C6H11NO2	129.079
C00409	CH4S	48.0034
C00410	C21H30O2	314.2246
C00411	C32H46N7O20P3S	973.1731
C00412	C39H70N7O17P3S	1033.3762
C00413	C21H39N7O12	581.2657
C00414	C6H10O	98.0732
C00415	C19H21N7O6	443.1553
C00416	C5H7O8PR2	
C00417	C6H6O6	174.0164
C00418	C6H12O4	148.0736
C00419	C10H17O10PR2(C5H8O6PR)n	
C00420	C12H22O11(C6H10O5)n	
C00422	C6H5O6R3	
C00423	C9H8O2	148.0524
C00424	C3H6O2	74.0368
C00427	C20H32O5	352.225
C00429	C4H6N2O2	114.0429
C00430	C5H9NO3	131.0582
C00431	C5H11NO2	117.079
C00433	C5H6O4	130.0266
C00435		
C00436	C5H13N3O	131.1059
C00437	C7H14N2O3	174.1004
C00438	C5H8N2O5	176.0433
C00439	C6H10N2O4	174.0641
C00440	C20H25N7O6	459.1866
C00441	C4H7NO3	117.0426
C00445	C20H22N7O6	456.1632
C00446	C6H13O9P	260.0297
C00447	C7H16O13P2	370.0066
C00448	C15H28O7P2	382.131
C00449	C11H20N2O6	276.1321
C00450	C6H9NO2	127.0633
C00451	C6H8O7	192.027
C00454	C5H11O10P2R	
C00455	C11H15N2O8P	334.0566
C00458	C9H16N3O13P3	466.9896
C00459	C10H17N2O14P3	481.9893
C00460	C9H15N2O14P3	467.9736
C00461	(C8H13NO5)n	
C00462	HX	
C00463	C8H7N	117.0578
C00464		
C00466	C4H8O2	88.0524
C00468	C18H22O2	270.162
C00469	C2H6O	46.0419
C00470	C12H18O13(C6H8O6)n-2	
C00472	C6H4O2	108.0211
C00473	C20H30O	286.2297
C00474	C5H12O5	152.0685
C00475	C9H13N3O5	243.0855
C00476	C5H10O5	150.0528
C00477	C27H44O6	464.3138
C00479	C3H6O	58.0419
C00481	C3H4N2	68.0374
C00482	C11H12O5	224.0685
C00483	C8H11NO	137.0841
C00486	C33H36N4O6	584.2635
C00487	C7H16NO3	162.113
C00488	CH3NO	45.0215
C00489	C5H8O4	132.0423
C00490	C5H6O4	130.0266
C00491	C6H12N2O4S2	240.0238
C00492	C18H32O16	504.169
C00493	C7H10O5	174.0528
C00495	C17H16O7	332.0896
C00496		
C00497	C4H6O5	134.0215
C00498	C16H25N5O15P2	589.0822
C00499	C4H8N4O4	176.0546
C00500	C33H34N4O6	582.2478
C00501	C15H25N3O16P2	565.071
C00502	C5H10O6	166.0477
C00503	C4H10O4	122.0579
C00504	C19H19N7O6	441.1397
C00505		
C00506	C3H7NO5S	169.0045
C00507	C6H12O5	164.0685
C00508	C5H10O5	150.0528
C00509	C15H12O5	272.0685
C00510	C39H68N7O17P3S	1031.3605
C00511	C3H4O2	72.0211
C00512	C28H40N7O17P3S	871.1414
C00513	C12H21N3O13P2	477.055
C00514	C6H12O7	196.0583
C00515	C5H12N2O2	132.0899
C00517	C16H32O	240.2453
C00518	(C14H21NO12)n	
C00519	C2H7NO2S	109.0197
C00521	C10H16	136.1252
C00522	C6H12O4	148.0736
C00523	C19H30O2	290.2246
C00524	C42H44FeN8O8S2R4	
C00525	C11H12N2O2	204.0899
C00526	C9H12N2O5	228.0746
C00527	C26H42N7O19P3S	881.1469
C00530	C6H6O2	110.0368
C00531	C26H40N7O19P3S	879.1313
C00532	C5H12O5	152.0685
C00533	NO	29.998
C00534	C8H12N2O2	168.0899
C00535	C19H28O2	288.2089
C00536	H5P3O10	257.9096
C00538	C2HO2R	
C00539	C7H6O2	122.0368
C00540	C30H42N7O17P3S	897.1571
C00541	C62H88CoN13O14P	1328.5643
C00542	C7H14N2O4S	222.0674
C00543	C2H7N	45.0578
C00544	C8H8O4	168.0423
C00545	C5H10O6	166.0477
C00546	C3H4O2	72.0211
C00547	C8H11NO3	169.0739
C00548	C8H8O2	136.0524
C00550	C24H49N2O6PR	
C00552	C4H6O6	150.0164
C00553	C10H20O	156.1514
C00555	C4H9NO	87.0684
C00556	C7H8O	108.0575
C00557	C5H8O	84.0575
C00558	C6H10O7	194.0427
C00559	C10H13N5O3	251.1018
C00561	C8H7NO	133.0528
C00562		
C00565	C3H9N	59.0735
C00566	C27H42N7O22P3S	941.1316
C00568	C7H7NO2	137.0477
C00570	C11H20N4O11P2	446.0604
C00571	C6H13N	99.1048
C00573	(C28H46N2O29S3)n	
C00575	C10H12N5O6P	329.0525
C00576	C5H12NO	102.0919
C00577	C3H6O3	90.0317
C00579	C8H17NOS2	207.0752
C00580	C2H6S	62.019
C00581	C3H7N3O2	117.0538
C00582	C29H42N7O17P3S	885.1571
C00583	C3H8O2	76.0524
C00584	C20H32O5	352.225
C00585	C10H10N2O3R2	
C00586	C6H12O5	164.0685
C00587	C7H6O3	138.0317
C00588	C5H15NO4P	184.0739
C00590	C10H12O3	180.0786
C00591	C10H16NO9R	
C00593	C2H4O4S	123.983
C00596	C5H6O3	114.0317
C00599	C27H44O	384.3392
C00601	C8H8O	120.0575
C00602	C6H11O6R	
C00603	C3H6N2O4	134.0328
C00605	C24H37N7O17P3SR	
C00606	C3H7NO4S	153.0096
C00609	C3H5OR	
C00611	C14H25NO11	383.1428
C00612	C9H21N3O	187.1685
C00613	C7H13N5O2R2	
C00614	C6H8N2O4R2	
C00615	C7H8N4O2R2	
C00616	C15H10O10S	381.9995
C00617	C15H22N2O18P2	580.0343
C00618	C6H10O7	194.0427
C00619	C19H28O	272.214
C00620	C5H11O8P	230.0192
C00621	C20H38O7P2(C5H8)n	
C00623	C3H9O6P	172.0137
C00624	C7H11NO5	189.0637
C00625	C7H12NO6R	
C00627	C8H12NO6P	249.0402
C00628	C7H6O4	154.0266
C00630	C25H42N7O17P3S	837.1571
C00631	C3H7O7P	185.9929
C00632	C7H7NO3	153.0426
C00633	C7H6O2	122.0368
C00634	(C14H21NO14S)n	
C00635	(C14H21NO14S)n	
C00636	C6H13O9P	260.0297
C00637	C10H9NO	159.0684
C00638	C3H5O2R	
C00639	C20H34O5	354.2406
C00640	C24H39N7O18P3SR	
C00641	C5H6O5R2	
C00642	C8H8O3	152.0473
C00643	C11H12N2O3	220.0848
C00644	C6H15O9P	262.0454
C00645	C8H15NO6	221.0899
C00647	C8H13N2O5P	248.0562
C00650	C8H7NO2	149.0477
C00651	C6H9NO4	159.0532
C00652	C5H8O5	148.0372
C00653	(C5H11O7P)n	
C00655	C10H13N4O9P	364.042
C00658	C24H37N7O17P3SR	
C00662		
C00663	C6H13O9P	260.0297
C00664	C20H24N8O6	472.1819
C00665	C6H14O12P2	339.996
C00666	C7H14N2O4	190.0954
C00667		
C00668	C6H13O9P	260.0297
C00669	C8H14N2O5S	250.0623
C00670	C8H21NO6P	258.1106
C00671	C6H10O3	130.063
C00672	C5H11O7P	214.0242
C00673	C5H11O7P	214.0242
C00674	C19H28O2	288.2089
C00675	C5H10O6PR	
C00676	C5H10O6PR	
C00677	C5H12O12P3R	
C00679	C6H8O7	192.027
C00680	C7H14N2O4	190.0954
C00681	C4H8O7PR	
C00682	C6H6O4	142.0266
C00683	C25H40N7O19P3S	867.1313
C00684	C5H8O5	148.0372
C00685	C3H2O2SR2	
C00686	C7H13NO9PR	
C00688	C16H24N2O15P2	546.0652
C00689	C12H23O14P	422.0825
C00691	C6H10O6	178.0477
C00692	C28H43N5O23P2	879.1824
C00693	C3H2OSR2	
C00694	C14H24NO11R	
C00695	C24H40O5	408.2876
C00696	C20H32O5	352.225
C00697	N2	28.0061
C00698	Cl	34.9689
C00700	C10H15N4O15P3	523.9747
C00701		
C00703	Hg	201.9706
C00704	O2	31.9898
C00705	C9H15N3O10P2	387.0233
C00706	NH2R	
C00708	I	126.9045
C00712	C18H34O2	282.2559
C00714	(C26H36O24)n	
C00715	C6H5N5O	163.0494
C00716	C3H7NO3	105.0426
C00717	C2H5O2R	
C00718	(C6H10O5)n	
C00719	C5H11NO2	117.079
C00720	BrR	
C00721	(C12H20O10)n	
C00722	C2H2OR2	
C00723		
C00726	CNR	
C00727	C7H8O2	124.0524
C00729	C8H15NO	141.1154
C00734	C12H24N2O9(C6H11NO4)n	
C00735	C21H30O5	362.2093
C00736	C3H7NO2S	121.0197
C00737	C6H12O6	180.0634
C00738	C6H12O6	180.0634
C00739	C6H14N2O2	146.1055
C00740	C3H7NO3	105.0426
C00741	C4H6O2	86.0368
C00742	F	18.9984
C00744	C45H75NO17	901.5035
C00747	C5H5N	79.0422
C00748	C42H44FeN4O16	916.2102
C00750	C10H26N4	202.2157
C00751	C30H50	410.3913
C00755	C8H8O3	152.0473
C00756	C8H18O	130.1358
C00757	C20H18NO4	336.1236
C00758	C11H6O4	202.0266
C00759		
C00760	(C6H10O5)n	
C00761	C16H22O8	342.1315
C00762	C21H28O5	360.1937
C00763	C5H9NO2	115.0633
C00764	C6H12O6	180.0634
C00766	C15H12O2	224.0837
C00770	C6H12O7	196.0583
C00772	C6H10O4	146.0579
C00774	C15H14O5	274.0841
C00777	C20H28O2	300.2089
C00778	C20H28R	
C00779	C10H10O4	194.0579
C00780	C10H12N2O	176.095
C00783	C8H13NO	139.0997
C00785	C6H6N2O2	138.0429
C00786	C16H14O5	286.0841
C00787		
C00788	C9H13NO3	183.0895
C00789	C14H25N3O15P2	537.0761
C00791	C4H7N3O	113.0589
C00792	C6H14N4O2	174.1117
C00793	C3H7NO2S	121.0197
C00794	C6H14O6	182.079
C00795	C6H12O6	180.0634
C00797	C2H7N	45.0578
C00798	C22H36N7O17P3S	795.1101
C00799	C15H10O2	222.0681
C00800	C6H12O7	196.0583
C00801	C5H9O4R	
C00802	C3H4N2O4	132.0171
C00803	C5H10O2	102.0681
C00804	C3H2O2	70.0055
C00805	C7H6O3	138.0317
C00806	C11H12N2O2	204.0899
C00808	C10H16O	152.1201
C00809	C10H16O	152.1201
C00810	C4H8O2	88.0524
C00811	C9H8O3	164.0473
C00812	HSR	
C00813	C4H4N2O3	128.0222
C00814	C16H12O5	284.0685
C00815	C5H8O5	148.0372
C00817	C6H12O7	196.0583
C00818	C6H10O8	210.0376
C00819	C5H10N2O3	146.0691
C00820	C4H9NO3	119.0582
C00821	C10H14N5O6P(C5H8O5PR)n(C5H8O5PR)n	
C00822	C9H9NO4	195.0532
C00823	C16H34O	242.261
C00825	C18H37N5O10	483.254
C00826	C10H13NO5	227.0794
C00827	C24H40N7O18P3S	839.1363
C00828	C16H16O2(C5H8)n	
C00829	C10H8	128.0626
C00830	C3H2O5	117.9902
C00831	C11H22N2O4S	278.13
C00835	C9H11N5O3	237.0862
C00836	C18H39NO2	301.2981
C00839	C4H6N2O3R2	
C00841	C11H6O4	202.0266
C00842	C16H26N2O16P2	564.0758
C00843	C10H18O	154.1358
C00844	C14H17NO6	295.1056
C00845	C26H38N7O18P3S	861.1207
C00846	C6H8O5	160.0372
C00847	C8H9NO4	183.0532
C00848	C10H16O2	168.115
C00849	C4H8O2	88.0524
C00850	C6H6O4S	173.9987
C00852	C16H18O9	354.0951
C00853	C62H89CoN13O14P	1329.5722
C00854	C6H12O	100.0888
C00855	C5H11NO2S	149.051
C00856	C9H14N3O7P(C5H8O5PR)n(C5H8O5PR)n	
C00857	C21H27N6O15P2	665.101
C00858	C16H12O4	268.0736
C00859	C19H24O6	348.1573
C00860	C6H11N3O	141.0902
C00861	C6H12O5	164.0685
C00862	C34H44N4O15	748.2803
C00863	HOR	
C00864	C9H17NO5	219.1107
C00865	C5H6O8PR3	
C00868	C9H13N2O9P(C5H8O6PR)n(C5H8O6PR)n	
C00869	C18H34O3	298.2508
C00870	C6H5NO3	139.0269
C00872	C3H5NO4	119.0219
C00876	C29H36N5O18P	773.1793
C00877	C25H40N7O17P3S	835.1414
C00878	C5H10O6	166.0477
C00879	C6H10O8	210.0376
C00880	C6H12O7	196.0583
C00881	C9H13N3O4	227.0906
C00882	C21H35N7O13P2S	687.1489
C00884	C10H16N4O3	240.1222
C00885	C10H10O6	226.0477
C00886	C13H22NO11PR2(C5H8O6PR)n	
C00887	N2O	44.0011
C00888	C26H44N7O17P3S	851.1727
C00891	C21H34O	302.261
C00892	C21H36O	304.2766
C00894	C24H38N7O17P3S	821.1258
C00897	C12H22O11	342.1162
C00898	C4H6O6	150.0164
C00899	C20H30O	286.2297
C00900	C5H8O4	132.0423
C00902	C6H10O3	130.063
C00903	C9H8O	132.0575
C00904	C26H42N7O20P3S	897.1418
C00905	C6H10O7	194.0427
C00906	C5H8N2O2	128.0586
C00908	C19H39N5O7	449.2849
C00909	C20H30O3	318.2195
C00911	C5H9O4R	
C00916	C16H21N3O8S	415.1049
C00918	C11H12Cl2N2O5	322.0123
C00919	C5H13NO4S	183.0565
C00920	C31H51N10O22P3S2	1072.1834
C00921	C14H14N6O3	314.1127
C00922	C6H8O4	144.0423
C00923		
C00924		
C00925	(C12H15NO10(R1)(R2)3)n	
C00927	C23H24N4O9	500.1543
C00928	C2H6OS	78.0139
C00931	C10H14N2O4	226.0954
C00933	C16H24NO5	310.1654
C00934		
C00935	C14H22N2O16P2	536.0445
C00936	C6H12O6	180.0634
C00937	C3H6O2	74.0368
C00940	C5H7NO4	145.0375
C00941	C9H12N3O7P	305.0413
C00942	C10H12N5O7P	345.0474
C00943	C10H11N4O7P	330.0365
C00944	C7H10O6	190.0477
C00950	C4H10O2S2	154.0122
C00951	C18H24O2	272.1776
C00954	C10H9NO2	175.0633
C00955	C10H11NO	161.0841
C00956	C6H11NO4	161.0688
C00957	C3H4O3S	119.9881
C00958	C11H21NO7PR2	
C00961	C18H12O6	324.0634
C00963	C6H11O6R	
C00964	C10H16O	152.1201
C00965	(C6H10O5)n	
C00966	C6H10O4	146.0579
C00969	C3H6O2	74.0368
C00971	C8H7NO3	165.0426
C00972	C3H3O3R	
C00973	(C6H10O5)n	
C00974	C15H12O6	288.0634
C00975	C4H4O6	148.0008
C00976	C16H23N5O17P2	619.0564
C00977	C11H13N3O	203.1059
C00978	C12H14N2O2	218.1055
C00979	C5H9NO4	147.0532
C00980	(C2H4O)n	
C00982	C26H21N3O2	407.1634
C00984	C6H12O6	180.0634
C00986	C3H10N2	74.0844
C00988	C2H5O6P	155.9824
C00989	C4H8O3	104.0473
C00990	C5H12N2O	116.095
C00991		
C00992	C62H90CoN13O15P	1346.5749
C00993	C6H12N2O3	160.0848
C00995		
C00996		
C00997		
C00998		
C00999		
C01000		
C01001	C35H44N4O16	776.2752
C01003	C4H6N2O3R2	
C01004	C7H7NO2	137.0477
C01005	C3H8NO6P	185.0089
C01007	C17H22N4O6	378.1539
C01008	C3H9S	77.0425
C01010	C2H4N2O3	104.0222
C01011	C26H42N7O20P3S	897.1418
C01012	C6H10O3	130.063
C01013	C3H6O3	90.0317
C01015	C5H9NO3	131.0582
C01019	C6H12O5	164.0685
C01020	C6H5NO3	139.0269
C01021	C3H6NO2R	
C01022		
C01024	C40H46N4O17	854.2858
C01025	HO2R	
C01026	C4H9NO2	103.0633
C01028	C6H14N2O3	162.1004
C01029	C9H21N3O	187.1685
C01031	C11H17N3O7S	335.0787
C01033	C26H44N7O17P3S	851.1727
C01034	C19H28O	272.214
C01035	C5H11N3O2	145.0851
C01036	C8H8O6	200.0321
C01037	C9H20N2O2	188.1525
C01040	C6H10O6	178.0477
C01041	C6H7O6	175.0243
C01042	C6H9NO5	175.0481
C01043	C4H8N2O3	132.0535
C01044	C5H7NO5	161.0324
C01045	C6H9NO5	175.0481
C01046	C6H11NO4	161.0688
C01047	C7H14N2O3	174.1004
C01048	C5H11O4P(C5H8)n	
C01050	C20H31N3O19P2	679.1027
C01051	C40H44N4O16	836.2752
C01053	C6H10O4	146.0579
C01054	C30H50O	426.3862
C01056	C10H14N2O	178.1106
C01058		
C01059	C5H5NO2	111.032
C01060	C9H9I2NO3	432.8672
C01061	C8H8O6	200.0321
C01062	C6H10O7	194.0427
C01063	C28H46N7O19P3S	909.1782
C01064	C19H28N4O16PR	
C01066	C6H8O2	112.0524
C01068	C5H13O8P	232.0348
C01069	C14H19NO6S	329.0933
C01070		
C01071		
C01073	C5H9NO3	131.0582
C01074		
C01075	C6H13NO8S	259.0362
C01077	C6H11NO4	161.0688
C01078	C6H8N2O2R2	
C01079	C34H40N4O4	568.305
C01080	C29H38N5O18P	775.1949
C01081	C12H18N4O4PS	345.0786
C01083	C12H22O11	342.1162
C01086	C24H39N7O18P3SR	
