KEGG_CPD	KEGG_EC	KEGG_FORMULA	KEGG_EXACT_MASS
cpd:C00001	ec:4.2.1.82	H2O	18.0106
cpd:C00001	ec:4.2.1.83	H2O	18.0106
cpd:C00001	ec:4.2.1.84	H2O	18.0106
cpd:C00001	ec:4.2.1.85	H2O	18.0106
cpd:C00001	ec:4.2.1.9	H2O	18.0106
cpd:C00001	ec:4.2.1.90	H2O	18.0106
cpd:C00001	ec:4.2.1.91	H2O	18.0106
cpd:C00001	ec:4.2.1.92	H2O	18.0106
cpd:C00001	ec:4.2.1.137	H2O	18.0106
cpd:C00001	ec:4.2.1.138	H2O	18.0106
cpd:C00001	ec:4.2.1.139	H2O	18.0106
cpd:C00001	ec:4.2.1.140	H2O	18.0106
cpd:C00001	ec:4.2.1.141	H2O	18.0106
cpd:C00001	ec:4.2.1.142	H2O	18.0106
cpd:C00001	ec:4.2.1.143	H2O	18.0106
cpd:C00001	ec:4.2.1.144	H2O	18.0106
cpd:C00001	ec:4.2.1.145	H2O	18.0106
cpd:C00001	ec:4.2.1.146	H2O	18.0106
cpd:C00001	ec:4.2.1.147	H2O	18.0106
cpd:C00001	ec:4.2.1.148	H2O	18.0106
cpd:C00001	ec:4.2.1.149	H2O	18.0106
cpd:C00001	ec:4.2.3.91	H2O	18.0106
cpd:C00001	ec:4.2.3.182	H2O	18.0106
cpd:C00001	ec:4.2.3.183	H2O	18.0106
cpd:C00001	ec:4.2.3.184	H2O	18.0106
cpd:C00001	ec:4.1.1.93	H2O	18.0106
cpd:C00001	ec:4.1.2.22	H2O	18.0106
cpd:C00001	ec:4.1.1.39	H2O	18.0106
cpd:C00001	ec:4.1.1.48	H2O	18.0106
cpd:C00001	ec:4.1.1.60	H2O	18.0106
cpd:C00001	ec:4.1.1.109	H2O	18.0106
cpd:C00001	ec:4.1.1.31	H2O	18.0106
cpd:C00001	ec:4.2.1.151	H2O	18.0106
cpd:C00001	ec:4.2.1.152	H2O	18.0106
cpd:C00001	ec:4.2.1.153	H2O	18.0106
cpd:C00001	ec:4.2.1.154	H2O	18.0106
cpd:C00001	ec:4.2.1.155	H2O	18.0106
cpd:C00001	ec:4.2.1.156	H2O	18.0106
cpd:C00001	ec:4.2.1.157	H2O	18.0106
cpd:C00001	ec:4.2.1.158	H2O	18.0106
cpd:C00001	ec:4.2.1.159	H2O	18.0106
cpd:C00001	ec:4.2.1.160	H2O	18.0106
