Control_1	Control_2	Control_3	Control_4	Du_1	Du_2	Du_3	Du_4
D9QZQ5	21.3798352293881	21.679084871189	21.4485922413888	22.2660796394533	23.3673304931708	23.5605754027514	24.3410952821352	24.099167354356
D9QZQ6	18.1075848963146	18.085451711577	17.9920863955294	18.5686686933805	20.7741049738254	22.6329845506411	21.6905539121007	21.7617427497566
D9QZQ7	NA	18.6697916453836	NA	20.175359494389	20.2428391608108	23.0357542415247	20.6781393207366	21.216260363432
D9QZQ8	19.1695238056851	20.1266641465014	19.1896170716294	21.0897763169499	22.8379397012089	24.4094401425699	24.0695638371137	22.4725877224577
D9QZQ9	19.0242360806911	NA	NA	20.2163195788584	20.8955604908941	21.6917895157907	21.1874318190272	20.9215068336165
D9QZR0	21.3897930654238	22.09448753087	20.9926534899255	22.7850053882122	24.1593866443382	24.9633607344442	24.9189349167257	23.7293079013517
D9QZR1	20.670033786664	20.1399609691148	20.188820622564	19.0336488351541	22.263646304978	22.9117218596431	22.4291809349425	21.6613170936341
D9QZR2	22.0305607253741	21.8730505331932	22.1083381252224	22.0558305241369	24.202247006036	24.0852117957294	24.9822443896413	24.4097638272633
D9QZS4	23.2344286208673	23.2182131903406	22.6670907466207	24.0862651831519	25.1939641406218	25.4545658820582	26.1730846438676	25.6906711268438
D9QZS5	20.7350436122418	20.9947263279845	20.8246977553414	21.6327627306495	22.9928090561288	23.6677404629302	23.9699169504118	23.4590142971042
D9QZS6	21.0742434005113	20.49843242108	20.697866893309	21.3736362327307	22.4727364462392	22.8642912022994	23.0149181147487	22.788653820546
D9QZS7	23.0187088897529	22.573207075899	22.79685396307	23.000204988756	23.8940250495075	24.6039373339102	24.733968609439	24.3515118980805
D9QZS8	18.2572773379214	18.5535618009903	17.8563525749687	19.0982068971271	20.2218750047491	20.8977775208984	21.532551880695	21.206337135124
D9QZS9	17.0639216699869	16.7481928495895	17.7545352386918	18.5765138711968	20.5111349294844	20.4231651637346	21.7461600069874	20.7794853239282
D9QZT0	21.7026935224525	22.332461664193	21.2190999658562	22.6114427170708	22.1551764643174	22.287994128411	22.9632107812738	22.7886936431982
D9QZT2	21.2896834670594	21.7029893688682	21.31528668396	22.1394926477929	22.815951584052	23.1630316992304	23.1309582360117	23.0716600638456
D9QZT3	17.0695966140909	18.5776943520162	17.7673956524164	19.0350729231249	20.4961906217612	21.688719860005	21.9529772262629	21.4385258863841
