"Control"	"Du"
"D9R447"	0	0
"D9R448"	3	0
"D9R449"	4	4
"D9R451"	3	0
"D9R452"	1	0
"D9R453"	4	4
"D9R459"	0	0
"D9R460"	4	4
"D9R461"	1	0
"D9R462"	2	1
"D9R463"	4	4
"D9R464"	0	0
"D9R466"	2	0
"D9R467"	2	0
"D9R468"	4	2
"D9R469"	0	0
"D9R474"	1	3
"D9R475"	0	0
"D9R476"	0	0
"D9R477"	4	4
"D9R480"	4	3
"D9R482"	4	0
"D9R483"	4	4
"D9R496"	4	4
"D9R497"	3	2
"D9R4A3"	4	0
"D9R4B2"	4	3
"D9R4B8"	4	4
"D9R4C1"	1	3
"D9R4C9"	2	2
"D9R4D0"	2	1
"D9R4D1"	0	0
"D9R4D8"	0	0
"D9R4E0"	4	4
"D9R4E7"	4	4
"D9R4E8"	4	3
"D9R4F0"	1	0
"D9R4F3"	0	0
"D9R4F4"	3	2
"D9R4F6"	0	0
"D9R4G3"	0	0
"D9R4G5"	4	4
"D9R4H0"	4	4
"D9R4H6"	0	0
"D9R4I3"	3	0
"D9R4I8"	4	4
"D9R4I9"	4	4
"D9R4J1"	2	0
"D9R4J2"	3	0
"D9R4J3"	4	0
"D9R4J4"	0	0
"D9R4J6"	2	3
"D9R4J9"	1	0
"D9R4K0"	3	0
"D9R4K1"	0	0
"D9R4L8"	3	0
"D9R4L9"	4	4
"D9R4M0"	4	0
"D9R4M1"	4	3
"D9R4M2"	3	3
"D9R4M3"	0	0
"D9R4M4"	1	1
"D9R4M5"	4	1
"D9R4M6"	4	3
"D9R4N8"	4	0
"D9R4N9"	3	0
"D9R4P0"	4	4
"D9R4P4"	4	2
"D9R4P5"	0	0
"D9R4P6"	4	4
"D9R4P7"	4	4
"D9R4Q5"	3	3
"D9R4Q6"	0	0
"D9R4Q7"	0	0
"D9R4Q8"	0	0
"D9R4Q9"	0	0
"D9R4R0"	4	3
"D9R4R1"	0	0
"D9R4R2"	0	0
"D9R4R5"	0	0
"D9R4R6"	3	4
"D9R4R8"	4	4
"D9R4S2"	4	1
"D9R4S9"	0	0
"D9R4T7"	1	0
"D9R4T9"	4	4
"D9R4U8"	0	0
"D9R4V1"	4	4
"D9R4V6"	4	4
"D9R4V7"	0	0
"D9R4V8"	0	0
"D9R4W6"	4	0
"D9R4W7"	4	3
"D9R4W8"	3	0
"D9R4X9"	0	0
"D9R4Y1"	2	0
"D9R4Y6"	4	2
"D9R4Y7"	3	2
"D9R4Z2"	4	1
"D9R4Z4"	2	0
"D9R4Z5"	0	1
"D9R4Z7"	4	4
"D9R4Z9"	4	4
"D9R511"	4	4
"D9R514"	4	4
"D9R536"	4	2
"D9R537"	1	4
"D9R538"	0	1
"D9R543"	4	4
"D9R545"	4	0
"D9R551"	0	0
"D9R552"	0	0
"D9R564"	4	4
"D9R577"	4	0
"D9R580"	4	4
"D9R582"	3	2
"D9R583"	4	4
"D9R585"	1	1
"D9R589"	0	0
"D9R590"	2	4
"D9R591"	3	4
