go.ontology	go.id
Biological process	GO:0001510
Biological process	GO:0001514
Biological process	GO:0001516
Biological process	GO:0001519
Biological process	GO:0001522
Biological process	GO:0001523
Biological process	GO:0001525
Biological process	GO:0006029
Biological process	GO:0006790
Biological process	GO:0001539
Biological process	GO:0001541
Biological process	GO:0001542
Biological process	GO:0001543
Biological process	GO:0001544
Biological process	GO:0001545
Biological process	GO:0001546
Biological process	GO:0001547
Biological process	GO:0001548
Biological process	GO:0001549
Biological process	GO:0001550
Biological process	GO:0001551
Biological process	GO:0001552
Biological process	GO:0001553
Biological process	GO:0001554
Biological process	GO:0001555
Biological process	GO:0001556
Biological process	GO:0008152
Biological process	GO:0016049
Biological process	GO:0001558
Biological process	GO:0001559
Biological process	GO:0001560
Biological process	GO:0001561
Biological process	GO:0001562
Biological process	GO:0001563
Biological process	GO:0001568
Biological process	GO:0001569
Biological process	GO:0001570
Biological process	GO:0001572
Biological process	GO:0001573
Biological process	GO:0001574
Biological process	GO:0001575
Biological process	GO:0001576
Biological process	GO:0007157
Biological process	GO:0001578
Biological process	GO:0001579
Biological process	GO:0001580
Biological process	GO:0001581
Biological process	GO:0001582
Biological process	GO:0001583
Biological process	GO:0001649
Biological process	GO:0001654
Biological process	GO:0001655
Biological process	GO:0001656
Biological process	GO:0001657
Biological process	GO:0001658
Biological process	GO:0001659
Biological process	GO:0001660
Biological process	GO:0001661
Biological process	GO:0001662
Biological process	GO:0001666
Biological process	GO:0001667
Biological process	GO:0001672
Biological process	GO:0001675
Biological process	GO:0001676
Biological process	GO:0001677
Biological process	GO:0001678
Biological process	GO:0001680
Biological process	GO:0001682
Biological process	GO:0001692
Biological process	GO:0001694
Biological process	GO:0001695
Biological process	GO:0001696
Biological process	GO:0001697
Biological process	GO:0001698
Biological process	GO:0001699
Biological process	GO:0001700
Biological process	GO:0001701
Biological process	GO:0001702
Biological process	GO:0001703
Biological process	GO:0001704
Biological process	GO:0001705
Biological process	GO:0001706
Biological process	GO:0001707
Biological process	GO:0001708
Biological process	GO:0001709
Biological process	GO:0001710
Biological process	GO:0001711
Biological process	GO:0001712
Biological process	GO:0001713
Biological process	GO:0001714
Biological process	GO:0001715
Biological process	GO:0001717
Biological process	GO:0001720
Biological process	GO:0001731
Biological process	GO:0001732
Biological process	GO:0001736
Biological process	GO:0001737
Biological process	GO:0001738
Biological process	GO:0001742
Biological process	GO:0001743
Biological process	GO:0001744
Biological process	GO:0001745
Biological process	GO:0001746
Biological process	GO:0001748
Biological process	GO:0001751
Biological process	GO:0001752
Biological process	GO:0042051
Biological process	GO:0001754
Biological process	GO:0001755
Biological process	GO:0001756
Biological process	GO:0001757
Biological process	GO:0001759
Biological process	GO:0001762
Biological process	GO:0001763
Biological process	GO:0001764
Biological process	GO:0001765
Biological process	GO:0001766
Biological process	GO:0001767
Biological process	GO:0001768
Biological process	GO:0001769
Biological process	GO:0001770
Biological process	GO:0001771
Biological process	GO:0001773
Biological process	GO:0001774
Biological process	GO:0001775
Biological process	GO:0001776
Biological process	GO:0001777
Biological process	GO:0001778
Biological process	GO:0001779
Biological process	GO:0001780
Biological process	GO:0001781
Biological process	GO:0001782
Biological process	GO:0001783
Biological process	GO:0001787
Biological process	GO:0001788
Biological process	GO:0001789
Biological process	GO:0001794
Biological process	GO:0001795
Biological process	GO:0001796
Biological process	GO:0001797
Biological process	GO:0001798
Biological process	GO:0001799
Biological process	GO:0001800
Biological process	GO:0001801
Biological process	GO:0001802
Biological process	GO:0001803
Biological process	GO:0001804
Biological process	GO:0001805
Biological process	GO:0001806
Biological process	GO:0001807
Biological process	GO:0001808
Biological process	GO:0001809
Biological process	GO:0001810
Biological process	GO:0001811
Biological process	GO:0001812
Biological process	GO:0001813
Biological process	GO:0001814
Biological process	GO:0001815
Biological process	GO:0001816
Biological process	GO:0001817
Biological process	GO:0001818
Biological process	GO:0001819
Biological process	GO:0001820
Biological process	GO:0001821
Biological process	GO:0001822
Biological process	GO:0001823
Biological process	GO:0001824
Biological process	GO:0001825
Biological process	GO:0001826
Biological process	GO:0001827
Biological process	GO:0001828
Biological process	GO:0001829
Biological process	GO:0001830
Biological process	GO:0001831
Biological process	GO:0001832
Biological process	GO:0001833
Biological process	GO:0001834
Biological process	GO:0001835
Biological process	GO:0001836
Biological process	GO:0001837
Biological process	GO:0001838
Biological process	GO:0001839
Biological process	GO:0001840
Biological process	GO:0001841
Biological process	GO:0001842
Biological process	GO:0001843
Biological process	GO:0001844
Biological process	GO:0001845
Biological process	GO:0001865
Biological process	GO:0001866
Biological process	GO:0001867
Biological process	GO:0001868
Biological process	GO:0001869
Biological process	GO:0001870
Biological process	GO:0001878
Biological process	GO:0001879
Biological process	GO:0001880
Biological process	GO:0001881
Biological process	GO:0001885
Biological process	GO:0001886
Biological process	GO:0001887
Biological process	GO:0001889
Biological process	GO:0001890
Biological process	GO:0001892
Biological process	GO:0001893
Biological process	GO:0001894
Biological process	GO:0001895
Biological process	GO:0001896
Biological process	GO:0001897
Biological process	GO:0001898
Biological process	GO:0001899
Biological process	GO:0001900
Biological process	GO:0001905
Biological process	GO:0001906
Biological process	GO:0001907
Biological process	GO:0001909
Biological process	GO:0001910
Biological process	GO:0001911
Biological process	GO:0001912
Biological process	GO:0001913
Biological process	GO:0001914
Biological process	GO:0001915
Biological process	GO:0001916
Biological process	GO:0001919
Biological process	GO:0001920
Biological process	GO:0001921
Biological process	GO:0001922
Biological process	GO:0001923
Biological process	GO:0001924
Biological process	GO:0001925
Biological process	GO:0001926
Biological process	GO:0001927
Biological process	GO:0001928
Biological process	GO:0001929
Biological process	GO:0001930
Biological process	GO:0001932
Biological process	GO:0001933
Biological process	GO:0001934
Biological process	GO:0001935
Biological process	GO:0001936
Biological process	GO:0001937
Biological process	GO:0001938
Biological process	GO:0001941
Biological process	GO:0001942
Biological process	GO:0001944
Biological process	GO:0001945
Biological process	GO:0001946
Biological process	GO:0001947
Biological process	GO:0001949
Biological process	GO:0001951
Biological process	GO:0001952
Biological process	GO:0001953
Biological process	GO:0001954
Biological process	GO:0001955
Biological process	GO:0001956
Biological process	GO:0001957
Biological process	GO:0001958
Biological process	GO:0001959
Biological process	GO:0001960
