cond.org	org	media	growth	mono_growth	max	max_mono	max_pvalue	max_diff	max_fold	mu	mu_mono	mu_pvalue	mu_diff	mu_fold	lag	lag_mono	lag_pvalue	lag_diff	lag_fold	max_pvalue_adj	mu_pvalue_adj	lag_pvalue_adj	max_log_fold	mu_log_fold	lag_log_fold	max_interaction_type	max_interaction_type_adj	mu_interaction_type	mu_interaction_type_adj	lag_interaction_type	lag_interaction_type_adj	max_tech.pval
simvastatin|DMSO	B. animalis subsp. lactis BI-07	GMM	growth	growth	0.293333333333333	0.284916666666667	0.406629210104883	0.016333333333333	1.05954268589558	0.066066378286675	0.0659571937042879	0.984202689136801	0.00172391269433637	1.012537567513	27596.4703359183	26947.8615298879	0.178038118003138	634.89495678065	1.02367987960679	0.822642171212187	0.991744472195321	0.795827572208633	0.0834417108713465	0.0179754363520801	0.0337646330060123	none	none	none	none	none	none	0.669600012548304
simvastatin|DMSO	B. fragilis	GMM	growth;no growth	growth;no growth	0.602	0.641	0.0488745039443951	-0.0389999999999998	0.939211378529184	0.0465493745248974	0.0535055658003459	0.41897433763351	-0.00695619127544854	0.887688664814816	16648.8773031605	16112.9090778367	0.658235404580212	535.968225323749	1.05160773788146	0.662999144115669	0.889953851270856	0.850692439334622	-0.0904782081087033	-0.171874319758807	0.0725966626659188	none	none	none	none	none	none	0.848379316165395
simvastatin|DMSO	B. longum subsp. infantis	GMM	growth	growth	0.455166666666667	0.936083333333333	0.2052254593184	-0.509	0.518051752874778	0.0687272101028825	0.0989370096017891	0.0875885262329158	-0.0305405810450706	0.703000303147058	30810.2720609697	30581.389907233	0.890727020300166	-190.02626301015	0.990779906811793	0.736804412090951	0.889953851270856	0.955153434832278	-0.948831865920982	-0.508402783471966	-0.0133634841118517	none	none	none	none	none	none	0.173524904899285
simvastatin|DMSO	B. longum subsp. longum	GMM	growth;no growth	growth;no growth	0.4085	0.4345	0.120950300607319	-0.026	0.940671079539339	0.105538593516214	0.0906928764737958	0.400823660123215	0.0148457170424177	1.23085470334085	35244.4424645258	39171.3963536345	0.428215012537326	-3926.9538891086	0.917566366571997	0.722952933175565	0.889953851270856	0.795827572208633	-0.0882377448044898	0.29966046845	-0.124115584602805	none	none	none	none	none	none	0.967980286727607
simvastatin|DMSO	B. thetaiotaomicron	GMM	growth	growth	0.6175	0.719583333333333	0.313398220305815	-0.0889999999999999	0.861461995642304	0.0425629824162573	0.0477353590296008	0.220895484801119	-0.00750710153089681	0.833585170064987	37865.0425688368	40132.017957946	0.410795057486409	-2210.2253891091	0.953896753610937	0.761470939517429	0.889953851270856	0.795827572208633	-0.215140943135661	-0.262598483374605	-0.0680949723822294	none	none	none	none	none	none	0.735376810445825
simvastatin|DMSO	B. uniformis	GMM	growth	growth	0.587833333333334	0.666083333333333	0.315180129920004	-0.0676666666666665	0.892344076845425	0.0413301862484682	0.04969845949764	0.0901922177828359	-0.00563950675029101	0.892601115074039	25199.3741469004	24342.8316373858	0.730315713950532	596.0425095146	1.05064232072962	0.761470939517429	0.889953851270856	0.877045811730548	-0.164327992091762	-0.163912486022464	0.0712716037086701	none	none	none	none	none	none	0.705689251909826
simvastatin|DMSO	B. uniformis HM715	GMM	growth	growth	0.454	0.552	0.183160590994841	-0.0745	0.872937037037037	0.0491616635570343	0.0763237956863528	0.225300070057971	-0.0257929791358114	0.670427671315162	13375	14525	0.714805944511686	-1227	0.915297185414312	0.736804412090951	0.889953851270856	0.868332394487637	-0.196050495591934	-0.576846398646502	-0.1276878506039	none	none	none	none	none	none	0.211074705158407
simvastatin|DMSO	B. uniformis HM716	GMM	growth	growth	0.5255	0.6495	0.030780175524447	-0.1125	0.819968131923719	0.051270679244255	0.079764631534252	0.173606048135595	-0.0237845445760421	0.706869144264174	14145.5	12986.75	0.123022381317336	2313.5	1.23718022876419	0.662999144115669	0.889953851270856	0.795827572208633	-0.286360254435945	-0.500484927086094	0.307055683179506	weak negative	none	none	none	none	none	0.369410931682532
simvastatin|DMSO	B. vulgatus	GMM	growth	growth	0.561583333333333	0.593208333333333	0.317823696251366	-0.0100833333333335	0.985291791356981	0.137013028925564	0.140135697644892	0.600418987934458	-0.0108831487641222	0.928963953026054	14619.1381789716	15256.215618166	0.230783174654763	-576.13934429515	0.956667810261019	0.761470939517429	0.893527892238578	0.795827572208633	-0.0213770570151965	-0.106305478687959	-0.0639100392310834	none	none	none	none	none	none	0.53070983050207
simvastatin|DMSO	C. bolteae	GMM	no growth;growth	no growth;growth	0.501	0.503333333333334	0.946435932465631	-0.00233333333333358	0.999767376059332	0.14204482340811	0.129761594169324	0.593935356496982	0.012283229238786	1.13702722771966	13032.2529229334	12611.2614076697	0.451263739962554	420.99151526365	1.02611501041221	0.973111209744869	0.893527892238578	0.795827572208633	-0.00033564444657401	0.185266802010114	0.0371924421070342	none	none	none	none	none	none	0.993976892847982
