organism	protein_id	original_protein_id
C. saccharolyticum	D9R0T3	D9R0T3
C. saccharolyticum	D9R0T4	D9R0T4
C. saccharolyticum	D9R0T5	D9R0T5
C. saccharolyticum	D9R0T6	D9R0T6
C. saccharolyticum	D9R0T8	D9R0T8
C. saccharolyticum	D9R0U2	D9R0U2
C. saccharolyticum	D9R0U9	D9R0U9
C. saccharolyticum	D9R0V0	D9R0V0
C. saccharolyticum	D9R0V2	D9R0V2
C. saccharolyticum	D9R0V3	D9R0V3
C. saccharolyticum	D9R0V4	D9R0V4
C. saccharolyticum	D9R0V5	D9R0V5
C. saccharolyticum	D9R0V6	D9R0V6
C. saccharolyticum	D9R0V9	D9R0V9
C. saccharolyticum	D9R0W1	D9R0W1
C. saccharolyticum	D9R0W2	D9R0W2
C. saccharolyticum	D9R0W3	D9R0W3
C. saccharolyticum	D9R0W4	D9R0W4
C. saccharolyticum	D9R0W5	D9R0W5
C. saccharolyticum	D9R0W6	D9R0W6
C. saccharolyticum	D9R0W7	D9R0W7
C. saccharolyticum	D9R0W8	D9R0W8
C. saccharolyticum	D9R0W9	D9R0W9
C. saccharolyticum	D9R0X0	D9R0G9|D9R0X0
C. saccharolyticum	D9R0X1	D9R0X1
C. saccharolyticum	D9R0Y8	D9R0Y8
C. saccharolyticum	D9R0Z2	D9R0Z2
C. saccharolyticum	D9R0Z3	D9R0Z3
C. saccharolyticum	D9R0Z4	D9R0Z4
C. saccharolyticum	D9R0Z5	D9R0Z5
C. saccharolyticum	D9R0Z6	D9R0Z6
C. saccharolyticum	D9R0Z7	D9R0Z7
C. saccharolyticum	D9R0Z8	D9R0Z8
C. saccharolyticum	D9R101	D9R101
C. saccharolyticum	D9R105	D9R105
C. saccharolyticum	D9R107	D9R107
C. saccharolyticum	D9R109	D9R109
C. saccharolyticum	D9R110	D9R110
C. saccharolyticum	D9R111	D9R111
C. saccharolyticum	D9R112	D9R112
C. saccharolyticum	D9R113	D9R113
C. saccharolyticum	D9R114	D9R114
C. saccharolyticum	D9R115	D9R115
C. saccharolyticum	D9R116	D9R116
C. saccharolyticum	D9R117	D9R117
C. saccharolyticum	D9R118	D9R118
C. saccharolyticum	D9R119	D9R119
C. saccharolyticum	D9R121	D9R121
C. saccharolyticum	D9R122	D9R122
C. saccharolyticum	D9R123	D9R123
C. saccharolyticum	D9R126	D9R126
C. saccharolyticum	D9R127	D9R127
C. saccharolyticum	D9R128	D9R128
C. saccharolyticum	D9R132	D9R132
C. saccharolyticum	D9R134	D9R134
C. saccharolyticum	D9R135	D9R135
C. saccharolyticum	D9R136	D9R136
C. saccharolyticum	D9R137	D9R137
C. saccharolyticum	D9R138	D9R138
C. saccharolyticum	D9R139	D9R139
C. saccharolyticum	D9R140	D9R140
C. saccharolyticum	D9R144	D9R144
C. saccharolyticum	D9R145	D9R145
C. saccharolyticum	D9R147	D9R147
C. saccharolyticum	D9R150	D9R150
C. saccharolyticum	D9R151	D9R151
C. saccharolyticum	D9R152	D9R152
C. saccharolyticum	D9R153	D9R153
C. saccharolyticum	D9R154	D9R154
C. saccharolyticum	D9R156	D9R156
C. saccharolyticum	D9R157	D9R157
C. saccharolyticum	D9R158	D9R158
C. saccharolyticum	D9R160	D9R160
C. saccharolyticum	D9R161	D9R161
C. saccharolyticum	D9R163	D9R163
C. saccharolyticum	D9R164	D9R164
C. saccharolyticum	D9R165	D9R165
C. saccharolyticum	D9R166	D9R166
C. saccharolyticum	D9R167	D9R167
C. saccharolyticum	D9R168	D9R168
C. saccharolyticum	D9R169	D9R0D2|D9R169
C. saccharolyticum	D9R170	D9R170
C. saccharolyticum	D9R171	D9R171
C. saccharolyticum	D9R172	D9R172
C. saccharolyticum	D9R173	D9R173
C. saccharolyticum	D9R174	D9R174
C. saccharolyticum	D9R176	D9R176
C. saccharolyticum	D9R180	D9R180
C. saccharolyticum	D9R181	D9R181
C. saccharolyticum	D9R183	D9R183
C. saccharolyticum	D9R184	D9R184
C. saccharolyticum	D9R191	D9R191
C. saccharolyticum	D9R193	D9R193
C. saccharolyticum	D9R194	D9R194
C. saccharolyticum	D9R195	D9R195
C. saccharolyticum	D9R199	D9R199
C. saccharolyticum	D9R1A0	D9R1A0
C. saccharolyticum	D9R1A1	D9R1A1
C. saccharolyticum	D9R1A4	D9R1A4
C. saccharolyticum	D9R1A5	D9R1A5
C. saccharolyticum	D9R1A7	D9R1A7
C. saccharolyticum	D9R1A8	D9R1A8
C. saccharolyticum	D9R1A9	D9R1A9
C. saccharolyticum	D9R1B0	D9R1B0
C. saccharolyticum	D9R1C2	D9R1C2
C. saccharolyticum	D9R1C3	D9R1C3
C. saccharolyticum	D9R1C5	D9R1C5
C. saccharolyticum	D9R1C6	D9R1C6
C. saccharolyticum	D9R1C7	D9R1C7
C. saccharolyticum	D9R1C8	D9R1C8
C. saccharolyticum	D9R1C9	D9R1C9
C. saccharolyticum	D9R1D0	D9R1D0
C. saccharolyticum	D9R1D1	D9R1D1
C. saccharolyticum	D9R1D5	D9R1D5
C. saccharolyticum	D9R1D6	D9R1D6
C. saccharolyticum	D9R1D7	D9R1D7
C. saccharolyticum	D9R1D8	D9R1D8
C. saccharolyticum	D9R1D9	D9R1D9
C. saccharolyticum	D9R1E0	D9R1E0
C. saccharolyticum	D9R1E1	D9R1E1
C. saccharolyticum	D9R1E2	D9R1E2
C. saccharolyticum	D9R1E3	D9R1E3
C. saccharolyticum	D9R1E4	D9R1E4
C. saccharolyticum	D9R1E7	D9R1E7
