protein_id	has_hits.lysate_Csaccharolyticum	has_hits.lysate_ED1a	has_hits.lysate_IAI1	has_hits.whole_ED1a	has_hits.whole_IAI1
D9RAV9	stabilized				
P00363			destabilized		destabilized
P00393					stabilized
P00509			destabilized		
P00634					stabilized
P00811					destabilized
P00954					stabilized
P00956			destabilized		
P00960			stabilized		stabilized
P00961			destabilized		
P00962			destabilized		
P00963			destabilized		
P00968					stabilized
P02359					destabilized
P02918			stabilized		
P02929			destabilized		
P02930			destabilized		
P02931			destabilized		
P02943					destabilized
P03004					destabilized
P03813					stabilized
P03841			destabilized		
P06149					destabilized
P06612			destabilized		
P06968			destabilized		
P06974					stabilized
P06983			destabilized		
P06987					stabilized
P06996			destabilized		destabilized
P07004					destabilized
P07623					stabilized
P08194			stabilized		
P08200			destabilized		
P08201			stabilized		
P08204			stabilized		
P08244			stabilized		stabilized
P08245			destabilized		
P08390			stabilized		
P09029					stabilized
P09127			destabilized		
P09148			destabilized		
P09151			stabilized		
P09549			destabilized		
P09980					stabilized
P0A6A3			destabilized		
P0A6A8			destabilized		destabilized
P0A6B7					stabilized
P0A6F1					destabilized
P0A6F3					destabilized
P0A6G7					stabilized
P0A6H5			destabilized		
P0A6J5					stabilized
P0A6K1			stabilized		
P0A6K3					destabilized
P0A6N4					destabilized
P0A6Q3			stabilized		
P0A6R3			destabilized		
P0A6S5			destabilized		
P0A6T1					stabilized
P0A6T3			stabilized		
P0A6T5					stabilized
P0A6U5					stabilized
P0A6W0			destabilized		
P0A6X3					destabilized
P0A6Y8					destabilized
P0A715			stabilized		stabilized
P0A717			destabilized		
P0A722					stabilized
P0A731					destabilized
P0A734					stabilized
P0A742			stabilized		
P0A759			destabilized		
P0A784			destabilized		
P0A786					destabilized
P0A790			destabilized		
P0A794			destabilized		stabilized
P0A799					stabilized
P0A7B1			stabilized		
P0A7B3			stabilized		
P0A7C6					stabilized
P0A7D4					destabilized
P0A7D7					stabilized
P0A7I7					destabilized
P0A7K2			destabilized		
P0A7L3					destabilized
P0A7M2					destabilized
P0A7M6			destabilized		
P0A7M9					destabilized
P0A7N4			destabilized		
P0A7P5			destabilized		
P0A7Q1			destabilized		
P0A7Q6			stabilized		
P0A7R1					stabilized
P0A7R5			stabilized		stabilized
P0A7R9					destabilized
P0A7S9					destabilized
P0A7T3			stabilized		stabilized
P0A7T7					destabilized
P0A7U7					destabilized
P0A7W7					destabilized
P0A800			destabilized		
P0A850					destabilized
P0A853					stabilized
P0A858			destabilized		
P0A862			destabilized		
P0A867					stabilized
P0A870			destabilized		
P0A873			stabilized		stabilized
P0A877					destabilized
P0A879			stabilized		
P0A881			destabilized		
P0A884			stabilized		
P0A890			destabilized		
P0A898			destabilized		
P0A8A4					stabilized
P0A8B2					stabilized
P0A8B5			destabilized		
P0A8C1			destabilized		
P0A8G9			destabilized		stabilized
P0A8I1					stabilized
P0A8J2			destabilized		
P0A8J4			destabilized		
P0A8K5			destabilized		
P0A8N5					stabilized
P0A8R4			destabilized		
P0A8R7					stabilized
P0A8T7					destabilized
P0A8W0			stabilized		
P0A8W2			destabilized		
P0A8W5					stabilized
P0A8X0					stabilized
P0A8X2			destabilized		
P0A908					destabilized
P0A910			destabilized		
P0A917			destabilized		destabilized
P0A935					stabilized
P0A951					stabilized
P0A972			stabilized		
P0A988					destabilized
P0A993			destabilized		destabilized
P0A998			destabilized		
P0A9A9					stabilized
P0A9B2			destabilized		
P0A9C5			destabilized		
P0A9C9					destabilized
P0A9F3					stabilized
P0A9G6					stabilized
P0A9H5			destabilized		
P0A9I1			destabilized		
P0A9I3			destabilized		
P0A9L5					stabilized
P0A9M2			destabilized		stabilized
P0A9M5					destabilized
P0A9P0			stabilized		destabilized
P0A9Q7			destabilized		
P0A9R4			destabilized		
P0A9S1			destabilized		
P0A9T0			destabilized		
P0A9U1					stabilized
P0A9V1					destabilized
P0A9X1					stabilized
P0A9X9					stabilized
P0A9Y6			stabilized		stabilized
P0AA04					stabilized
P0AA10					destabilized
P0AA25			destabilized		
P0AA31			destabilized		
P0AAA9			destabilized		destabilized
P0AAB4			stabilized		
P0AAC4					destabilized
P0AAD4			stabilized		
P0AAH0			destabilized		
P0AAI9					stabilized
P0AAJ1			stabilized		stabilized
P0AAK1					stabilized
P0AAN5					destabilized
P0AAR8			destabilized		stabilized
P0AAS7					destabilized
P0AAT6			destabilized		
P0AAT9					stabilized
P0AAX8			destabilized		
P0AAZ7					stabilized
P0AB14			destabilized		
P0AB24					stabilized
P0AB26					stabilized
P0AB38					stabilized
P0AB52					stabilized
P0AB58					stabilized
P0AB61					stabilized
P0AB77					stabilized
P0AB96					stabilized
P0ABA0			destabilized		destabilized
P0ABB4					stabilized
P0ABC3			destabilized		stabilized
P0ABD8			destabilized		
P0ABF1					stabilized
P0ABF6			destabilized		
P0ABG4			stabilized		
P0ABH0			destabilized		
P0ABH7					destabilized
P0ABK5					destabilized
P0ABK9			destabilized		destabilized
P0ABL3			destabilized		stabilized
P0ABL5			destabilized		
P0ABP3			stabilized		stabilized
P0ABP8			destabilized		destabilized
P0ABS8			stabilized		
P0ABT2			destabilized		
P0ABU5					destabilized
P0ABU9			destabilized		
P0ABV6					stabilized
P0AC02			destabilized		
P0AC30					stabilized
P0AC47					destabilized
P0AC59			destabilized		
P0AC62			destabilized		
P0AC69			destabilized		
P0AC75					stabilized
P0AC81					destabilized
P0ACB4					stabilized
P0ACC7					stabilized
P0ACD4			destabilized		
P0ACF0			destabilized		
P0ACJ0					stabilized
P0ACJ8			destabilized		stabilized
P0ACM2					stabilized
P0ACN4					stabilized
P0ACR9					stabilized
P0ACT6					destabilized
P0ACU7			destabilized		
P0ACW6			destabilized		
P0ACX3			destabilized		stabilized
P0ACY9			destabilized		destabilized
P0AD05			destabilized		
P0AD07			destabilized		
P0AD10			destabilized		stabilized
P0AD24			destabilized		destabilized
P0AD27					destabilized
P0AD33					stabilized
P0AD42					stabilized
P0AD44			destabilized		
P0AD57			destabilized		destabilized
P0AD99			stabilized		
P0ADA1			stabilized		stabilized
P0ADA5					stabilized
P0ADD5			stabilized		
P0ADE6			destabilized		
P0ADG4			stabilized		
P0ADP0			destabilized		stabilized
P0ADP2			stabilized		
P0ADP9					stabilized
P0ADQ2			destabilized		
P0ADS2			destabilized		
P0ADS6			destabilized		
P0ADT2			destabilized		
P0ADU2			destabilized		destabilized
P0ADU5					stabilized
P0ADV1					stabilized
P0ADV7			destabilized		
P0ADV9					stabilized
P0ADW3					destabilized
P0ADX1			stabilized		destabilized
P0ADY3					destabilized
P0ADY7					destabilized
P0ADZ4			stabilized		
P0AE06					stabilized
P0AE08					destabilized
P0AE12			stabilized		
P0AE22					stabilized
P0AE60			stabilized		
P0AE70			destabilized		
P0AE72			destabilized		
P0AE78			destabilized		
P0AE88					stabilized
P0AEB2					destabilized
P0AEC3					stabilized
P0AED0			destabilized		
P0AED9			stabilized		
P0AEE1					destabilized
P0AEG4			destabilized		
P0AEG6			destabilized		
P0AEH1					destabilized
P0AEJ6					stabilized
P0AEL0			stabilized		
P0AEL3			destabilized		
P0AEM0			stabilized		
P0AEM4			destabilized		stabilized
P0AEM9					stabilized
P0AEP1			stabilized		
P0AEQ1			destabilized		destabilized
P0AES0			destabilized		
P0AES4					stabilized
P0AET2					stabilized
P0AET5			stabilized		
P0AEU7			destabilized		
P0AEW4					stabilized
P0AEY3					stabilized
P0AEZ3			destabilized		
P0AF03					stabilized
P0AF12			destabilized		
P0AF36			destabilized		
P0AF50			destabilized		
P0AF67			stabilized		
P0AF90			destabilized		
P0AF96					destabilized
P0AF98			stabilized		stabilized
P0AFA7					stabilized
P0AFB8			destabilized		stabilized
P0AFC7			destabilized		
P0AFD4			stabilized		
P0AFD6					stabilized
P0AFE0					destabilized
P0AFE8			stabilized		
P0AFF0			stabilized		
P0AFF6			stabilized		
P0AFG6					destabilized
P0AFG8					destabilized
P0AFH6					stabilized
P0AFH8			destabilized		
P0AFK4					stabilized
P0AFM6			destabilized		stabilized
P0AFM9			destabilized		stabilized
P0AFP6			destabilized		
P0AFQ2			stabilized		
P0AFQ7			destabilized		
P0AFT2			stabilized		
P0AFU0					stabilized
P0AFW4			stabilized		
P0AFX0			stabilized		
P0AFX4					stabilized
P0AFX7			destabilized		
P0AFY8					stabilized
P0AFZ3			destabilized		
P0AG00					stabilized
P0AG07			destabilized		
P0AG18			destabilized		
P0AG48					stabilized
P0AG51			destabilized		destabilized
P0AG59					destabilized
P0AG67					destabilized
P0AG78			destabilized		
P0AG96					destabilized
P0AG99			destabilized		
P0AGB3			stabilized		
P0AGE6			destabilized		destabilized
P0AGF6					destabilized
P0AGG2			destabilized		
P0AGG4			stabilized		
P0AGH1					destabilized
P0AGJ7			destabilized		destabilized
P0AGK8			destabilized		
P0AGL2			destabilized		
P0AGM7			stabilized		
P0C093					stabilized
P0C0S1			stabilized		stabilized
P0C0U4					stabilized
P0CE47					destabilized
P0CE48					destabilized
P0CG19			stabilized		
P10384			stabilized		
P10903					destabilized
P11875			destabilized		
P12758					stabilized
P13009					stabilized
P13016					stabilized
P13029					stabilized
P13033					stabilized
P13518			stabilized		
P13738			stabilized		
P14407			destabilized		
P15034			destabilized		
P15070			destabilized		
P15288			stabilized		
P15373					stabilized
