"Ion_index","Ion_mz","Min_detected_charge","Max_detected_charge","TIC_correlation","Median_ion_intensity","Mean_ion_intensity","CV_ion_intensity","Fraction_ion_detected","First_metabolite_name_HMDB","First_HMDB_ID","First_KEGG_ID","First_pubchem_ID","Number_of_annotations","Ion_is_isotopologue","Applied_drift_correction_method","Fraction_detected_in_all_replicates","Median_interreplicate_CV"
43,74.0331615144488,0,-2,0.379998572772862,517504548.05033,403397775.024179,0.390391263820039,87.683284457478,"Mevalonic acid","HMDB0000227","cpd:C00418","449",17,0,"data inadequate for drift correction",84.2307692307692,0.0193542783277714
44,74.9915485642942,0,0,0.347533296071332,1,245665.97506575,0.589067122082043,42.5219941348974,"Ethanethioic acid","HMDB0031188","cpd:C01857","",4,0,"data inadequate for drift correction",13.8461538461538,0
45,75.0091216909578,-1,-1,0.450216907327903,210562214.467424,227666729.668286,0.393239854879594,99.7067448680352,"Glycolic acid","HMDB0000115","cpd:C00160","757",2,1,"data inadequate for drift correction",94.2307692307692,0.0475096014928745
46,75.0281844592838,-1,-1,-1,3392743.50715738,3193406.99516108,0.380928334577362,75.0733137829912,"Glycine","HMDB0000123","cpd:C00037","750",7,1,"data inadequate for drift correction",53.4615384615385,0.0168627155764962
47,75.0338847797926,0,0,0.588827469822232,25303257.0494973,21080563.4189863,0.311178860045795,65.3958944281525,"3-(4-Hydroxyphenyl)-1-propanol","HMDB0032599","","82452",4,0,"data inadequate for drift correction",48.8461538461538,0
48,76.0126110972159,-1,-1,0.598467995495421,286717.185484427,653685.26441358,0.548266648436089,0.293255131964809,"Glycolic acid","HMDB0000115","cpd:C00160","757",2,1,"data inadequate for drift correction",0,0
49,76.9396339626282,0,0,0.743285231237423,1,252634.488402862,0.291794840622248,0,"","","","",0,0,"data inadequate for drift correction",0,0
50,76.961436130519,0,0,0.548206894977642,1595192942.11838,1491682464.31846,0.274621549142111,92.0821114369501,"","","","",0,0,"data inadequate for drift correction",93.0769230769231,0.0362704030179798
51,76.9836288861755,0,0,0.7160922145131,1,266479.513883469,0.426763081069965,0,"Phosphoglycolic acid","HMDB0000816","cpd:C00988","529",2,0,"data inadequate for drift correction",0,0
52,76.9885040403931,0,0,0.675915917417116,1,10693029.9682308,1.52387053871745,51.0263929618768,"S-Propyl thiosulfate","HMDB0041066","","3083960",1,0,"data inadequate for drift correction",23.0769230769231,0
53,77.0136750952249,-1,-1,0.624809552692454,1,11866.9340030254,0.927688110613587,0,"","","","",0,1,"data inadequate for drift correction",0,0
54,78.959421882755,0,0,0.603487914267707,1765764947.58943,1597937096.83315,0.323774693475472,92.0821114369501,"","","","",0,0,"data inadequate for drift correction",99.6153846153846,0.0221080405229425
55,78.9865432467304,0,0,0.687880880859544,18075426.9644847,21787780.7079121,0.549811979899633,73.900293255132,"","","","",0,0,"data inadequate for drift correction",51.5384615384615,0.000646204138107151
56,79.0111096150202,0,0,0.650656745313657,1,71224.9495288485,0.550410788158905,0,"Oxoadipic acid","HMDB0000225","cpd:C00322","71",3,0,"data inadequate for drift correction",0,0
57,79.020708974278,0,0,0.620686646421867,1,2163893.90791179,0.421753243518271,0.293255131964809,"L-2-Amino-4-methylenepentanedioic acid","HMDB0029433","cpd:C00651","96407",2,0,"data inadequate for drift correction",0,0
58,79.0341983278635,0,0,0.675181628859504,9516801.13577503,8866518.36744332,0.473162613078883,85.0439882697947,"D-Alanyl-D-alanine","HMDB0003459","cpd:C00993","5460362",3,0,"data inadequate for drift correction",67.6923076923077,0.090748361293332
59,79.0383886241788,0,0,0.442187040560435,1,40634.0024362476,0.821153741206192,18.475073313783,"2-Methylbutyrylglycine","HMDB0000339","","193872",12,0,"data inadequate for drift correction",0,0
60,79.0442386456826,0,0,0.614813666360267,1,328809.94416411,0.551779232206057,0.293255131964809,"","","","",0,0,"data inadequate for drift correction",0,0
61,79.0567127759259,0,0,-1,8210654572.03132,7350652593.91319,0.572341198654574,96.1876832844575,"DL-2-Aminooctanoic acid","HMDB0000991","","69522",2,0,"data inadequate for drift correction",92.6923076923077,0.124875906072363
62,79.0617968690947,0,0,-1,1,188895.360064136,0.742631564936271,0.586510263929619,"1-Hydroxy-3-nonanone","HMDB0037143","","5362570",2,0,"data inadequate for drift correction",0,0
63,79.0697574573517,0,0,0.786099268775414,1,432186.177959441,0.600551329381434,0.293255131964809,"","","","",0,0,"data inadequate for drift correction",0,0
64,79.0754436318909,0,0,-1,1,1091203.43901027,7.72657498675976,63.049853372434,"","","","",0,0,"data inadequate for drift correction",4.23076923076923,0
65,79.0800414184477,0,0,0.752523097231532,9284491.14966748,8583483.00237023,0.44367435779154,83.2844574780059,"","","","",0,0,"data inadequate for drift correction",63.4615384615385,0.0613940987041096
66,80.0601397052298,0,0,0.646207727851287,156314456.878968,164156295.02509,0.532600836019884,88.8563049853372,"","","","",0,0,"data inadequate for drift correction",90.7692307692308,0.170071452715879
67,80.9653775542469,0,0,0.750653310168223,21055589.0520731,18083929.8114024,0.42058180277966,86.8035190615836,"","","","",0,0,"data inadequate for drift correction",78.8461538461538,0.0359061876096255
68,80.9813388142906,0,0,0.712768694926044,331881.867282841,886487.285902369,0.894424058158166,61.58357771261,"","","","",0,0,"data inadequate for drift correction",36.1538461538462,0
69,80.9936765319843,0,0,-1,17300493.6178525,20220204.4742435,0.637576439269317,92.0821114369501,"","","","",0,0,"data inadequate for drift correction",99.6153846153846,0.129685130848821
70,81.046276880916,0,0,0.741627539613385,1,41789.9975454186,0.92016541412792,0,"5-Hydroxylysine","HMDB0000450","cpd:C16741","3032849",3,0,"data inadequate for drift correction",0,0
71,81.061244406568,0,0,0.70313640625389,1,2686574.6392873,0.564552300157785,0.293255131964809,"","","","",0,0,"data inadequate for drift correction",0,0
72,81.9820571182608,0,0,0.672743017405305,1,56163.0751134432,0.608507164671111,0,"","","","",0,0,"data inadequate for drift correction",0,0
