organism	protein_id	gene_name	is_hit	n_hits	list_hits
Csaccha	D9QZY2	CLOSA_1850	FALSE	0	""
Csaccha	D9QZY3	CLOSA_1851	FALSE	0	""
Csaccha	D9QZY4	CLOSA_1852	FALSE	0	""
Csaccha	D9QZY5	CLOSA_1853	FALSE	0	""
Csaccha	D9QZY6	PYRH	FALSE	0	""
Csaccha	D9QZY7	FRR	FALSE	0	""
Csaccha	D9QZY8	CLOSA_1856	FALSE	0	""
Csaccha	D9QZZ0	DXR	FALSE	0	""
Csaccha	D9QZZ1	CLOSA_1859	FALSE	0	""
Csaccha	D9QZZ2	ISPG	FALSE	0	""
Csaccha	D9QZZ5	CLOSA_1863	FALSE	0	""
Csaccha	D9QZZ6	CLOSA_1864	FALSE	0	""
Csaccha	D9QZZ9	CLOSA_1868	FALSE	0	""
Csaccha	D9R001	CLOSA_1870	FALSE	0	""
Csaccha	D9R002	CLOSA_1871	FALSE	0	""
Csaccha	D9R003	CLOSA_1872	FALSE	0	""
Csaccha	D9R004	CLOSA_1873	FALSE	0	""
Csaccha	D9R006	CLOSA_1875	FALSE	0	""
Csaccha	D9R007	CLOSA_1876	FALSE	0	""
Csaccha	D9R008	CLOSA_1877	FALSE	0	""
Csaccha	D9R009	UPP	FALSE	0	""
Csaccha	D9R010	CLOSA_1881	FALSE	0	""
Csaccha	D9R011	CLOSA_1882	FALSE	0	""
Csaccha	D9R012	POLA	FALSE	0	""
Csaccha	D9R013	COAE	FALSE	0	""
Csaccha	D9R014	CLOSA_1885	FALSE	0	""
Csaccha	D9R015	CLOSA_1886	FALSE	0	""
Csaccha	D9R016	CLOSA_1887	FALSE	0	""
Csaccha	D9R017	CLOSA_1888	FALSE	0	""
Csaccha	D9R018	CLOSA_1889	FALSE	0	""
Csaccha	D9R019	CLOSA_1890	FALSE	0	""
Csaccha	D9R020	CLOSA_1891	FALSE	0	""
Csaccha	D9R021	TMCAL	FALSE	0	""
Csaccha	D9R022	CLOSA_1893	FALSE	0	""
Csaccha	D9R023	ACKA	FALSE	0	""
Csaccha	D9R024	CLOSA_1895	FALSE	0	""
Csaccha	D9R025	RPMF	FALSE	0	""
Csaccha	D9R026	CLOSA_1897	FALSE	0	""
Csaccha	D9R027|D9R1L8|D9R7G4	DEOC	FALSE	0	""
Csaccha	D9R028|D9R8S1	RBSK	FALSE	0	""
Csaccha	D9R029	CLOSA_1900	FALSE	0	""
Csaccha	D9R032	CLOSA_1903	FALSE	0	""
Csaccha	D9R033	HPPA	FALSE	0	""
Csaccha	D9R037	CLOSA_1909	FALSE	0	""
Csaccha	D9R038	CLOSA_1910	FALSE	0	""
Csaccha	D9R040	RBSA	FALSE	0	""
Csaccha	D9R041	CLOSA_1913	FALSE	0	""
Csaccha	D9R042	CLOSA_1914	FALSE	0	""
Csaccha	D9R043	CLOSA_1915	FALSE	0	""
Csaccha	D9R045	PLSX	FALSE	0	""
Csaccha	D9R047	RNC	FALSE	0	""
Csaccha	D9R048	SMC	FALSE	0	""
Csaccha	D9R049	FTSY	FALSE	0	""
Csaccha	D9R050	CLOSA_1922	FALSE	0	""
Csaccha	D9R054	CLOSA_1926	FALSE	0	""
Csaccha	D9R057	CLOSA_1929	FALSE	0	""
Csaccha	D9R068	CLOSA_1940	FALSE	0	""
Csaccha	D9R073	CLOSA_1945	FALSE	0	""
Csaccha	D9R074	CLOSA_1946	FALSE	0	""
