Well	Species	Concentration	Replicate	Time	OD
E5	C. saccharolyticum	60	1	0	0.144
E5	C. saccharolyticum	60	1	1	0.137
E5	C. saccharolyticum	60	1	2	0.13
E5	C. saccharolyticum	60	1	3	0.126
E5	C. saccharolyticum	60	1	4	0.124
E5	C. saccharolyticum	60	1	5	0.123
E5	C. saccharolyticum	60	1	6	0.123
E5	C. saccharolyticum	60	1	7	0.124
E5	C. saccharolyticum	60	1	8	0.126
E5	C. saccharolyticum	60	1	9	0.128
E5	C. saccharolyticum	60	1	10	0.134
E5	C. saccharolyticum	60	1	11	0.137
E5	C. saccharolyticum	60	1	12	0.168
E5	C. saccharolyticum	60	1	13	0.168
E5	C. saccharolyticum	60	1	14	0.265
E5	C. saccharolyticum	60	1	15	0.2
E5	C. saccharolyticum	60	1	16	0.252
E5	C. saccharolyticum	60	1	17	0.321
E5	C. saccharolyticum	60	1	18	0.421
E5	C. saccharolyticum	60	1	19	0.472
E5	C. saccharolyticum	60	1	20	0.541
E5	C. saccharolyticum	60	1	21	0.53
E5	C. saccharolyticum	60	1	22	0.518
E5	C. saccharolyticum	60	1	23	0.525
E5	C. saccharolyticum	60	1	24	0.452
E5	C. saccharolyticum	60	2	0	0.145
E5	C. saccharolyticum	60	2	1	0.138
E5	C. saccharolyticum	60	2	2	0.13
E5	C. saccharolyticum	60	2	3	0.125
E5	C. saccharolyticum	60	2	4	0.123
E5	C. saccharolyticum	60	2	5	0.123
E5	C. saccharolyticum	60	2	6	0.123
E5	C. saccharolyticum	60	2	7	0.124
E5	C. saccharolyticum	60	2	8	0.125
E5	C. saccharolyticum	60	2	9	0.13
E5	C. saccharolyticum	60	2	10	0.129
E5	C. saccharolyticum	60	2	11	0.137
E5	C. saccharolyticum	60	2	12	0.143
E5	C. saccharolyticum	60	2	13	0.14
E5	C. saccharolyticum	60	2	14	0.172
E5	C. saccharolyticum	60	2	15	0.216
E5	C. saccharolyticum	60	2	16	0.36
E5	C. saccharolyticum	60	2	17	0.439
E5	C. saccharolyticum	60	2	18	0.381
E5	C. saccharolyticum	60	2	19	0.432
E5	C. saccharolyticum	60	2	20	0.473
E5	C. saccharolyticum	60	2	21	0.403
E5	C. saccharolyticum	60	2	22	0.442
E5	C. saccharolyticum	60	2	23	0.638
E5	C. saccharolyticum	60	2	24	0.54
E5	C. saccharolyticum	60	3	0	0.152
E5	C. saccharolyticum	60	3	1	0.143
E5	C. saccharolyticum	60	3	2	0.134
E5	C. saccharolyticum	60	3	3	0.129
E5	C. saccharolyticum	60	3	4	0.126
E5	C. saccharolyticum	60	3	5	0.126
E5	C. saccharolyticum	60	3	6	0.127
E5	C. saccharolyticum	60	3	7	0.128
E5	C. saccharolyticum	60	3	8	0.13
E5	C. saccharolyticum	60	3	9	0.133
E5	C. saccharolyticum	60	3	10	0.137
E5	C. saccharolyticum	60	3	11	0.161
E5	C. saccharolyticum	60	3	12	0.195
E5	C. saccharolyticum	60	3	13	0.177
E5	C. saccharolyticum	60	3	14	0.262
E5	C. saccharolyticum	60	3	15	0.2
E5	C. saccharolyticum	60	3	16	0.215
E5	C. saccharolyticum	60	3	17	0.339
E5	C. saccharolyticum	60	3	18	0.349
E5	C. saccharolyticum	60	3	19	0.493
E5	C. saccharolyticum	60	3	20	0.577
E5	C. saccharolyticum	60	3	21	0.411
E5	C. saccharolyticum	60	3	22	0.571
