annotation	ec
TIGR00715	1.3.1.54
TIGR00716	3.1.26.4
TIGR00718	4.3.1.17
TIGR00719	4.3.1.17
TIGR00720	4.3.1.17
TIGR00729	3.1.26.4
TIGR00740	2.1.1.-
TIGR00742	1.-.-.-
TIGR00745	1.1.1.-
TIGR00746	2.7.2.2
TIGR00747	2.3.1.180
TIGR00748	2.3.3.10
TIGR00749	2.7.1.2
TIGR00750	2.7.-.-
TIGR00751	2.5.1.74
TIGR00753	3.6.1.27
TIGR00755	2.1.1.182
TIGR00757	3.1.4.-
TIGR00758	3.2.2.-
TIGR00759	1.2.4.1
TIGR00760	5.1.3.4
TIGR00761	2.7.2.8
TIGR00763	3.4.21.53
TIGR00767	3.6.4.-
TIGR00768	6.3.2.-
TIGR00777	1.11.1.15
TIGR00780	1.9.3.1
TIGR00781	1.9.3.1
TIGR00782	1.9.3.1
TIGR00821	2.7.1.69
TIGR00823	2.7.1.69
TIGR00824	2.7.1.69
TIGR00826	2.7.1.69
TIGR00829	2.7.1.69
TIGR00838	4.3.2.1
TIGR00839	4.3.1.1
TIGR00848	2.7.1.69
TIGR00849	2.7.1.69
TIGR00851	2.7.1.69
TIGR00854	2.7.1.69
TIGR00856	3.5.2.3
TIGR00857	3.5.2.3
TIGR00858	2.3.1.47
TIGR00871	1.1.1.49
TIGR00872	1.1.1.44
TIGR00873	1.1.1.44
TIGR00874	2.2.1.2
TIGR00875	4.1.2.-
TIGR00876	2.2.1.2
TIGR00877	6.3.4.13
TIGR00878	6.3.3.1
TIGR00884	6.3.5.2
TIGR00888	6.3.5.2
TIGR00928	4.3.2.2
TIGR00936	3.3.1.1
TIGR00938	2.7.1.39
TIGR00962	3.6.3.14
TIGR00965	2.3.1.117
TIGR00968	3.6.3.25
TIGR00970	2.3.3.13
TIGR00972	3.6.3.27
TIGR00973	2.3.3.13
TIGR00977	2.3.1.182
TIGR00978	1.2.1.11
TIGR00979	4.2.1.2
TIGR01001	2.3.1.46
TIGR01015	1.13.11.5
TIGR01016	6.2.1.-
TIGR01019	6.2.1.-
TIGR01026	3.6.3.14
TIGR01027	2.7.2.11
TIGR01034	2.5.1.6
TIGR01035	1.2.1.70
TIGR01036	1.3.98.1
TIGR01037	1.3.-.-
TIGR01039	3.6.3.14
TIGR01040	3.6.3.14
TIGR01041	3.6.3.14
TIGR01042	3.6.3.14
TIGR01043	3.6.3.14
TIGR01048	4.1.1.20
TIGR01051	5.99.1.2
TIGR01052	5.99.1.3
TIGR01054	3.6.4.12
TIGR01054	5.99.1.3
TIGR01055	5.99.1.-
TIGR01056	5.99.1.2
TIGR01057	5.99.1.2
TIGR01058	5.99.1.-
TIGR01059	5.99.1.3
TIGR01060	4.2.1.11
TIGR01061	5.99.1.-
TIGR01062	5.99.1.-
TIGR01063	5.99.1.3
TIGR01064	2.7.1.40
